City,Comments,Country,Date Posted,Duration,Lat,Long,Name,Shape,ss status
virginia beach,Mother heard high-pitch whine pass over house.  Daughter witnessed large circular craft w/ multiple circular whitish yellow lights.,us,02/11/2019 00:00,25,36.8527778,-75.9783333,1333-virginia beach-Sleigh,Sleigh,Pending
redding,Father w/ children witness orange ball of light bob above trees.  Suddenly witness streak of white light w/ green tail finger wide.,us,02/11/2019 00:00,600,40.5866667,-122.3905556,1330-redding-Sleigh,Sleigh,Pending
holton,Youth w/ friend pursue on Hwy. 16 triangular thing in sky w/ yellow blue and green lights. Obj. turned abruptly flew north.,us,02/11/2019 00:00,900,39.4652778,-95.7361111,1331-holton-Sleigh,Sleigh,Active
redding,Woman in car facing E saw very bright bizarre obj. streak horizontally from L to R.  Head was blue tail was yellow orange red.,us,02/11/2019 00:00,3,40.5866667,-122.3905556,1328-redding-Sleigh,Sleigh,Closed
placerville,MSleighN investigator relays rept. of multiple sightings of bizarre meteor.  Multiple newspaper articles.,us,02/11/2019 00:00,3,38.7297222,-120.7975,1329-placerville-Sleigh,Sleigh,Active
trenton,Young man hunting sees two peculiar bright lights hovering in sky like planets.  Suddenly they flashed changed color moved.,us,02/11/2019 00:00,180,41.0616667,-91.6372222,1326-trenton-Sleigh,Sleigh,Active
carson city,Woman calls after dramatic sighting of a red streak of light w/ blue in middle moving SE to NW.  Width as thick as my thumb,us,02/11/2019 00:00,2,39.1638889,-119.7663889,1327-carson city-Sleigh,Sleigh,Pending
framingham,Young woman repts. seeing w/ friends a large round bright obj. overhead.  Filled car w/ green light.  Pains in head.,us,02/11/2019 00:00,50,42.2791667,-71.4166667,1324-framingham-Sleigh,Sleigh,Pending
phoenix,Woman grandson and several other witnesses rept. approx. 10 shiny objs. maneuvering reflecting sunlight overhead.  Streaked off.,us,02/11/2019 00:00,300,33.4483333,-112.0733333,1325-phoenix-Sleigh,Sleigh,Active
mojave,Woman repts. 2 objs. big and small hovering in clear sky to SW.  Lights appear to blink or strobe.  Other witnesses.,us,02/11/2019 00:00,2100,35.0525,-118.1730556,1323-mojave-Sleigh,Sleigh,Active
seattle,Nat. Sleigh Rpt. Ctr. phones AP &amp; UPI wire services.  They have no info re 17NO95 sightings; express no desire to inspect data.,us,02/11/2019 00:00,0,47.6063889,-122.3308333,1322-seattle-Sleigh,Sleigh,Closed
orlando,Woman repts. bizarre half circle obj. in sky to SE.  Projects ray downward  Something appeared to fall from the main object.,us,02/11/2019 00:00,0,28.5380556,-81.3794444,1320-orlando-Sleigh,Sleigh,Active
muskegon,Woman repts. daughter encountered intensely bright red triangular obj. sitting on side of road.  Obj. rose disappeared suddenly.,us,02/11/2019 00:00,720,43.2341667,-86.2483333,1321-muskegon-Sleigh,Sleigh,Pending
big flats,Woman relays that man &amp; son had witnessed a dramatic reddish-yellow light in the night sky.,us,02/11/2019 00:00,0,42.1372222,-76.9372222,1318-big flats-Sleigh,Sleigh,Pending
grandview,Multiple residents see 2x large triangles w/ lights &amp; fireball behind it fly over call 911.  Police choppers respond; neg.. Loud. TV.,us,02/11/2019 00:00,0,38.8858333,-94.5327778,1319-grandview-Sleigh,Sleigh,Active
seymour-johnson afb,Duty sergeant rpts multiple calls from citizens regarding 1 or more (?) objects hovering maneuvering near USAF base. Radar neg.,us,02/11/2019 00:00,0,35.350177,-77.952358,1316-seymour-johnson afb-Sleigh,Sleigh,Pending
arcadia,2x young men see large triangular obj. w/ lights on corners. Dips rises several times then STREAKS to W.  Had shimmering effect.,us,02/11/2019 00:00,3,34.1397222,-118.0344444,1317-arcadia-Sleigh,Sleigh,Active
seattle,2nd Seattle Univ. student calls to report remarkable pink and  blue flashing lights in or above the clouds.,us,02/11/2019 00:00,2280,47.6063889,-122.3308333,1315-seattle-Sleigh,Sleigh,Closed
seattle,Young woman in Seattle Univ. dormitory sees bizarre pronounced red pink blue intense multiple flashes of light in clouds to east.,us,02/11/2019 00:00,1200,47.6063889,-122.3308333,1314-seattle-Sleigh,Sleigh,Pending
seattle,Young woman repts. witnessing multiple flashes of red and blue light in and above the clouds.  Were to the NE of Capitol Hill.,us,02/11/2019 00:00,10800,47.6063889,-122.3308333,1313-seattle-Sleigh,Sleigh,Active
arlington,MSleighN member relays multiple reports about people who witnessed pink and blue flashes same night as sightings over Seattle.,us,02/11/2019 00:00,0,48.1988889,-122.1238889,1311-arlington-Sleigh,Sleigh,Pending
seattle,Man repts. witnessing peculiar red and blue flashes over Seattle.  One flash filled 180 deg. of sky w/ red light.  Observed an orb.,us,02/11/2019 00:00,10800,47.6063889,-122.3308333,1312-seattle-Sleigh,Sleigh,Active
fall river,Young woman saw extremely bright white light with green tail streak toward the south.  No sound.,us,02/11/2019 00:00,10,41.7013889,-71.1555556,1309-fall river-Sleigh,Sleigh,Closed
biddeford,Man leaves work at hospital encounters large plate-shaped obj. w/ 3 multi-color rings around it.  Obj crossed road rose vert.,us,02/11/2019 00:00,120,43.4925,-70.4538889,1310-biddeford-Sleigh,Sleigh,Active
yarmouth,Young man reports huge bright white light w/ green wake pass overhead very fast.  Other witnesses stopped cars.,us,02/11/2019 00:00,5,43.8005556,-70.1872222,1307-yarmouth-Sleigh,Sleigh,Pending
york,Father son &amp; many bystanders witness incredible starlike obj. w/ white aura long green tail STREAK FAST from NE to SW.,us,02/11/2019 00:00,5,43.161748,-70.648258,1308-york-Sleigh,Sleigh,Active
sector 18,FAA Boston Cntr. relays 2 rpts:  2 comm. jetliner crews rept very bright light green tail pass by them on N side very fast. Close.,us,02/11/2019 00:00,5,28.568802,77.322391,1305-sector 18-Sleigh,Sleigh,Pending
lower nazareth,Woman witnesses huge triangular-shaped ship covered w/ bizarre lights like traffic lights.  Very dramatic sighting.,us,02/11/2019 00:00,180,40.706987,-75.306233,1306-lower nazareth-Sleigh,Sleigh,Active
basking ridge,Young man while driving N witnesses dramatic white fireball to east streak N to S.  Sees similar red streak N to S in W sky,us,02/11/2019 00:00,4,40.7061111,-74.5497222,1303-basking ridge-Sleigh,Sleigh,Active
orange,Woman witnesses multiple red radiant objs. hovering over her mountaintop farm then immense white flash.  Objs. streaked S (?).,us,02/11/2019 00:00,900,44.1483333,-72.4030556,1304-orange-Sleigh,Sleigh,Active
watkins glen,Six teenagers on hill witness a BRIGHT ball of fire w/ a green/yellow trail streak across the sky.  Covered 110 degrees in 3 seconds.,us,02/11/2019 00:00,3,42.3805556,-76.8736111,1300-watkins glen-Sleigh,Sleigh,Active
tacoma,Young man repts. he returned home from store neighborhood boys excited about strange obj. that had just passed overhead.,us,02/11/2019 00:00,0,47.2530556,-122.4430556,1302-tacoma-Sleigh,Sleigh,Pending
frostburg,Man sees a bright yellow round ball of light w/ green tail stretching from hor. to hor. go slowly from NE to SE in W sky. Clear sky.,us,02/11/2019 00:00,5,39.6580556,-78.9286111,1299-frostburg-Sleigh,Sleigh,Closed
mansfield,Man saw orange fireball pass across the sky at very high speed from E to W.  Approx. 1/4-1/2 dia. of moon.  Very fast bright.,us,02/11/2019 00:00,5,41.8072222,-77.0777778,1301-mansfield-round,round,Active
odessa,Husband &amp; wife witness a large ball of light w/ a long green trail streak across sky.  Very dramatic sighting.,us,02/11/2019 00:00,30,42.3366667,-76.7888889,1297-odessa-Sleigh,Sleigh,Active
reading,Man sees VERY BRIGHT orange/red distinctly round fireball STREAK across sky parallel to horiz. Long tail Not meteor he thought.,us,02/11/2019 00:00,5,40.3355556,-75.9272222,1298-reading-Sleigh,Sleigh,Pending
frostburg,Man (anonymous) repts. that his brother had seen a strange light streak from N to S.  Scared the daylights out of him.  (No facts.),us,02/11/2019 00:00,0,39.6580556,-78.9286111,1295-frostburg-Sleigh,Sleigh,Pending
new york city,News media rept. Pakistani &amp; TWA airliners departing JFKennedy airport witness very bizarre fast obj. in their proximity.,us,02/11/2019 00:00,0,40.7141667,-74.0063889,1296-new york city-Sleigh,Sleigh,Active
riverside,Woman &amp; daughter see V-shaped obj. w/ red/blue/green lights streak across sky stop dead hover.  Many neighbors witness object.,us,02/11/2019 00:00,1800,40.0322222,-74.9577778,1293-riverside-Sleigh,Sleigh,Closed
lake city,Young man sees disc-shaped obj. w/ double dome--top and bottom w/ red light around middle do wild gyrations in N sky.  Streaked.,us,02/11/2019 00:00,45,47.7177778,-122.2825,1294-lake city-Sleigh,Sleigh,Active
blossburg,Sen.mil.(ret.) sees large rnd bright ball of orange light aheadin sleigh w/ comm. a/c pass overhead NOT meteor.Exclnt rept.,us,02/11/2019 00:00,30,41.6794444,-77.0641667,1291-blossburg-Sleigh,Sleigh,Pending
bandy,Young man sees very prominant white light streak from E to W in southern sky.  BRIGHT white light and VERY fast.  Short trail.,us,02/11/2019 00:00,4,0,0,1292-bandy-Sleigh,Sleigh,Active
mountain city,Computer engin. repts. seeing triangular ships over TN almost nightly.  Repts. overhearing radio commo. of  F-15  firing on Sleigh.,us,02/11/2019 00:00,1200,36.4744444,-81.805,1289-mountain city-Sleigh,Sleigh,Pending
green co.,FAA empl. relays facts of written rept.  Man and woman encounter 3 bizarre ships that hovered over them on Hwy. 70.,us,02/11/2019 00:00,7200,35.829656,-85.729622,1290-green co.-Sleigh,Sleigh,Closed
midway,Mother notices aircraft over Midway River suddenly engine noise seem to slow.  She &amp; kids see 2 mushroom shaped craft.,us,02/11/2019 00:00,120,31.8055556,-81.4308333,1287-midway-Sleigh,Sleigh,Active
salem,4 individuals witness distinctly red light above clouds.  Changes to white back to red then disappears.  Video footage taken.,us,02/11/2019 00:00,180,44.9430556,-123.0338889,1288-salem-Sleigh,Sleigh,Active
american canyon,Woman and daughter witness w/ binoculars 2 strange lights in sky.  Flashing white red green.  (Not inconsistent w/ twinkling star.),us,02/11/2019 00:00,1800,38.175,-122.2597222,1286-american canyon-Sleigh,Sleigh,Pending
lake oswego,Woman repts. three peculiar green beams of light overhead.  (MSleighN investigator reptd. was probably laser-based adv. light.),us,02/11/2019 00:00,720,45.4208333,-122.6694444,1285-lake oswego-Sleigh,Sleigh,Active
birmingham,Man standing outside sees what looks like shooting star. Obj. split into 3 lights like isosceles triangle shot across sky to SE,us,02/11/2019 00:00,2,33.5205556,-86.8025,1284-birmingham-Sleigh,Sleigh,Closed
las vegas,Woman repts. two stationary colorful lights to W &amp; NW of her position.  (Description not inconsistent w/ twinkling stars.),us,02/11/2019 00:00,2700,36.175,-115.1363889,1283-las vegas-Sleigh,Sleigh,Pending
sedro woolley,Husband &amp; wife see peculiar colorful stationary obj. to E over Alger Mtn..  (Possible star??),us,02/11/2019 00:00,1800,48.50389,-122.23611,1281-sedro woolley-Sleigh,Sleigh,Pending
san diego,Noticed illuminated egg-shaped object with strobe lights travel from N to S/SW. No engine noise and travelled slowly. Object emitted pa,us,02/11/2019 00:00,600,32.7152778,-117.1563889,1282-san diego-egg,egg,Active
seatac,Airline empl. reports seeing Hughes-type helicopter near SeaTac Airport.  300-500 (est.) alt.. Unusual location.,us,02/11/2019 00:00,0,47.4538889,-122.3205556,1279-seatac-Sleigh,Sleigh,Active
manson,Man repts. 2 guys in scuba divers suits w/ wrap-around glasses in his apt..  Photographed man w/ flashlights.  Through wall,us,02/11/2019 00:00,0,47.885,-120.1572222,1280-manson-Sleigh,Sleigh,Active
kirkland,Woman on cruise boat sees large obj. w/ 8-10 strange red lights passes overhead N to S dips rises vert. out of sight No sound.,us,02/11/2019 00:00,10,47.6816667,-122.2075,1277-kirkland-Sleigh,Sleigh,Active
bothell,Exp. Sleigh investigator MSleighN member witnesses very bright bluish/white flash of light that lit living room.  Descended rapidly.,us,02/11/2019 00:00,2,47.7625,-122.2041667,1278-bothell-Sleigh,Sleigh,Pending
rock island,Man on Hwy 28 sees extremely bright obj. shoot across windshield blow up into many fragments when it entered cloud of fog.,us,02/11/2019 00:00,20,47.3772222,-120.1427778,1275-rock island-light,light,Active
solvang,Two young women driving to party encounter a large cylindrical-shaped obj. w/ a lot of lights on it. Drifted slowly streaked.,us,02/11/2019 00:00,600,34.5958333,-120.1366667,1276-solvang-Sleigh,Sleigh,Closed
auburn,Man experienced 15 sec. power outage in Enumclaw then witnesses major blue then green flash south of Auburn. 50 deg. of sky.,us,02/11/2019 00:00,10,47.3075,-122.2272222,1273-auburn-Sleigh,Sleigh,Active
eugene,Three adults hear a strange noise see a strange star to W.  Obj. does gyrations then streaks N.  10 min. later they see 3 more.,us,02/11/2019 00:00,600,44.0522222,-123.0855556,1274-eugene-Sleigh,Sleigh,Pending
beaverton,Family returns from restaurant and notice emerald green beam of light going horizontally over their home. Beam ended abruptly.,us,02/11/2019 00:00,2400,45.4872222,-122.8025,1271-beaverton-Sleigh,Sleigh,Active
riverside,Man sees seven very bright golden lights descend from sky hover and move strangely. Quickly  streaks to W.,us,02/11/2019 00:00,30,33.9533333,-117.3952778,1269-riverside-Sleigh,Sleigh,Pending
eilmsport,PA Emer. Man. Agency relays report from citizen regarding Sleigh sighting.  (Established 19NO95 they were advertising lights.),us,02/11/2019 00:00,0,41.127858,-77.020523,1272-eilmsport-Sleigh,Sleigh,Active
san lorenzo (puerto rico),I was with my parent inside our car when suddenly we saw a 7 lights in sleigh on top of a mountain and then a we heard a big explosi,us,02/11/2019 00:00,60,18.1913889,-65.9613889,1270-san lorenzo (puerto rico)-Sleigh,Sleigh,Pending
iowa city,Man repts. witnessing flash followed by a classic Sleigh w/ a tailfin at back. Red color on top half of tailfin. Became triangular.,us,02/11/2019 00:00,0,41.6611111,-91.53,1267-iowa city-Sleigh,Sleigh,Active
leesburg,Craft appears faintly at first then drifted downward brightened and hovered at tree top level red in color then vanished.,us,02/11/2019 00:00,60,28.8105556,-81.8780556,1268-leesburg-other,other,Active
wolf lake,Woman repts. 4 to 6 Sleighs going in circle coming together near her house.  Was alarmed by sighting.  (Prob. advertising lights.),us,02/11/2019 00:00,0,44.0066667,-85.8375,1265-wolf lake-Sleigh,Sleigh,Pending
phoenix,Young man in back of p/u truck witnesses flaming red/orange obj. to W near Luke AFB.  Flares dims rises vert. winks out.,us,02/11/2019 00:00,0,33.4483333,-112.0733333,1266-phoenix-Sleigh,Sleigh,Closed
west valley city,Young woman &amp; boyfriend witness a black obj...a round black disc w/ a dome move slowly overhead.  Suddenly disappeared.,us,02/11/2019 00:00,0,40.691613,-112.00105,1263-west valley city-Sleigh,Sleigh,Active
muskegon,Man reports peculiar lights circling his residence.  (Probable advertising lights.),us,02/11/2019 00:00,0,43.2341667,-86.2483333,1264-muskegon-Sleigh,Sleigh,Active
north las vegas,Young woman goes outside see group of teenage girls looking as sky.  Large cigar-ship w/ bright lights hovering in sky.  Other rpts.,us,02/11/2019 00:00,0,36.1988889,-115.1166667,1261-north las vegas-Sleigh,Sleigh,Pending
puyallup,Man witnesses small whitish blue-green ball pass overhead flying to east.,us,02/11/2019 00:00,900,47.1855556,-122.2916667,1262-puyallup-Sleigh,Sleigh,Active
volinda,Woman &amp; 4 neighbors witness bright red light moving slightly across the sky.,us,02/11/2019 00:00,0,34.045288,-117.943675,1259-volinda-Sleigh,Sleigh,Pending
seattle,Woman calls to report a Sleigh in southern sky.  Flashing red blue green lights; stationary.  (Possible star?),us,02/11/2019 00:00,0,47.6063889,-122.3308333,1260-seattle-Sleigh,Sleigh,Active
orland park/palos park,The sleigh was roof high and I observed it very closely for at least 3 to 5 minutes,us,02/11/2019 00:00,0,41.668889,-87.820278,1257-orland park/palos park-Sleigh,Sleigh,Closed
marthas vinyard,I want to refresh Peter Davenports memory about my former unpublished report of Sept.l2th or l3th of this year and his return EMAIL.,us,02/11/2019 00:00,0,41.436427,-70.607669,1258-marthas vinyard-Sleigh,Sleigh,Active
billings,weather conditons were winds gusting 40/45 mph when all power went off in area we stepped outside and immediatly nsaw 8/10 large red l,us,02/11/2019 00:00,15,45.7833333,-108.5,1256-billings-Sleigh,Sleigh,Closed
imperial beach,A ROUND CIRCULAR SHAPE OBJECT LARGER THAN A AIRPLANE HOVERED OVER A RESIDENTIAL AREA FOR ABOUT 5MINUTES.BRIGHT RED LIGHT ILLUMINATED TH,us,02/11/2019 00:00,300,32.5838889,-117.1122222,1255-imperial beach-fireball,fireball,Closed
clinton (southern end of whidbey island),Object viewed (at night) multi-colored lights(very bright strobe-like),us,02/11/2019 00:00,1800,47.9786111,-122.3544444,1254-clinton (southern end of whidbey island)-Sleigh,Sleigh,Closed
san diego  (spring valley) (20 mi. e of sd airport),Wife driving in car sited orange fireball size of thumb at arms length. moving from west to east movig 1/3 of sky in 45 sec.length of t,us,02/11/2019 00:00,45,32.7152778,-117.1563889,1253-san diego  (spring valley) (20 mi. e of sd airport)-fireball,fireball,Pending
west hartford,Passenger in car noticed haze that appeared to be divided into 3 sections w/ bright light in center.  Changed shape became disc.,us,02/11/2019 00:00,20,41.7636111,-72.6855556,1251-west hartford-Sleigh,Sleigh,Active
boerne,Sec. officer at hospital  sees very bright blue light.  Silhouetted by cloud appears as coffee table w/ shirt box on top. Erratic.,us,02/11/2019 00:00,30,29.7944444,-98.7316667,1252-boerne-Sleigh,Sleigh,Pending
san diego,The sleigh was roof high and I observed it very closely for at least 3 to 5 minutes,us,02/11/2019 00:00,10,32.7152778,-117.1563889,1247-san diego-Sleigh,Sleigh,Active
tacoma,Man sitting in hot tub sees satellite in E sky.  Obj. suddenly accelerated dramatically made zigzag turns departed very fast.,us,02/11/2019 00:00,4,47.2530556,-122.4430556,1250-tacoma-Sleigh,Sleigh,Active
woodbridge,3 ooval objects came from about 75 degrees at high speed and turned West at steady speed.Object were engulphed in red and orange like f,us,02/11/2019 00:00,600,38.6580556,-77.25,1246-woodbridge-oval,oval,Pending
tacoma,Woman sees extremely bright fuschia-pink ball of light settle into neighbors field  Light reflected off truck; dog stared at it.,us,02/11/2019 00:00,120,47.2530556,-122.4430556,1249-tacoma-light,light,Pending
kokomo,Young couple in car see 3x lights approaching slowly in air. White on  sides flashing red in middle.  High-pitch hum. Big; solid.,us,02/11/2019 00:00,0,40.4863889,-86.1336111,1244-kokomo-Sleigh,Sleigh,Pending
smithville,The sleigh was roof high and I observed it very closely for at least 3 to 5 minutes,us,02/11/2019 00:00,25,30.0083333,-97.1591667,1248-smithville-Sleigh,Sleigh,Active
ocean city,my wife and i saw 3 lighted objects in the sky. the objects initially were a continuous bright light and then a pulsating soft light.,us,02/11/2019 00:00,300,38.3363889,-75.0852778,1242-ocean city-light,light,Active
darwen lancashire (uk/england),The sleigh was roof high and I observed it very closely for at least 3 to 5 minutes,us,02/11/2019 00:00,1200,53.829579,-2.597118,1245-darwen lancashire (uk/england)-Sleigh,Sleigh,Pending
ellisville,Woman repts. 4 lights then 6 lights look like bright street lights in the sky.  Criss-crossing dancing motion. (Adv. lights?),us,02/11/2019 00:00,1800,38.5925,-90.5869444,1240-ellisville-Sleigh,Sleigh,Pending
seattle,Woman rpts peculiar bright obj. in NW sky 45 deg. above horizon.  (Reported 02NO95 obj. was not present on subsequent nights.),us,02/11/2019 00:00,1800,47.6063889,-122.3308333,1243-seattle-Sleigh,Sleigh,Active
cedar rapids,I was driving home after work when I was a teardrop silvery and shiny object (and it was obvious that it was chrome colored) passed ac,us,02/11/2019 00:00,40,42.0083333,-91.6438889,1238-cedar rapids-teardrop,teardrop,Active
kodak,Man &amp; wife witness very bizarre obj. moving erratically in sky.  It looked like an airplane but it wasnt (one.)  1 blinking light.,us,02/11/2019 00:00,60,35.9744444,-83.6269444,1241-kodak-Sleigh,Sleigh,Closed
canfield,White light east southeast of here seems to be flashing red and blue,us,02/11/2019 00:00,0,41.025,-80.7611111,1236-canfield-light,light,Pending
little rock,I saw an object in the sky above Little Rock. It first appeared to be an airplane without any discernable features or a shiny balloon.,us,02/11/2019 00:00,240,34.7463889,-92.2894444,1239-little rock-Sleigh,Sleigh,Pending
greenwood,Man &amp; wife see very bright obj do loop then see 3 more objs.  Got other witnesses saw 11 objs Seemed to shoot at each other.,us,02/11/2019 00:00,10800,38.8966667,-120.9116667,1234-greenwood-Sleigh,Sleigh,Active
augusta,Best described as a reverse shooting star. A point of light streaking upward quite a distance to the east of me.,us,02/11/2019 00:00,1.5,37.6866667,-96.9763889,1237-augusta-light,light,Closed
kansas city  (over the metro area),The sleigh was roof high and I observed it very closely for at least 3 to 5 minutes,us,02/11/2019 00:00,900,39.0997222,-94.5783333,1232-kansas city  (over the metro area)-Sleigh,Sleigh,Pending
auburn,Woman repts. a white round meteor viewed from Rte. 64.  Viewed to north approx. 25 deg. above horizon.,us,02/11/2019 00:00,2,47.3075,-122.2272222,1235-auburn-Sleigh,Sleigh,Active
prince of wales island,Man rpts very large circular obj passing slowly across N sky from W to E to horizon.  Dia. of full moon  Burning material ejected.,us,02/11/2019 00:00,120,55.779431,-132.817995,1230-prince of wales island-Sleigh,Sleigh,Closed
knoxville,Unusual lights in sky moving and fading out.,us,02/11/2019 00:00,40,35.9605556,-83.9208333,1233-knoxville-Sleigh,Sleigh,Active
petal,Object was seen heading north just east of Petal Ms at appox 1500ft It was the size of a DC-10...It hovered  and moved slowly to the,us,02/11/2019 00:00,180,31.3463889,-89.26,1228-petal-triangle,triangle,Active
siletz,Woman &amp; 3 witnesses rpt stat. obj flashing white green red lights.  Zigzags dramatically. (Reptd. 02NO95 obj. not visible in sky.),us,02/11/2019 00:00,900,44.7219444,-123.9188889,1231-siletz-Sleigh,Sleigh,Pending
tacoma,I saw a huge triangular object traveling at a high rate of speed while I was on my way to my evening shift at work,us,02/11/2019 00:00,15,47.2530556,-122.4430556,1225-tacoma-triangle,triangle,Closed
laurel,bright object moving slowly across sky .Too bright to be airplane and no red or green wing lights,us,02/11/2019 00:00,180,31.6938889,-89.1305556,1229-laurel-oval,oval,Active
charlotte,Approx. 6-8 jets in sky. @ bright shining objects like small stars standing still. As one jet moved toward them one moved away at a mu,us,02/11/2019 00:00,600,35.2269444,-80.8433333,1223-charlotte-light,light,Active
lombard,It was so huge it took my breath away. At first I thought it was the moon until I opend my sun roof and saw the moon above me. I follow,us,02/11/2019 00:00,0,41.88,-88.0077778,1227-lombard-disk,disk,Active
concord (near),Objects travelling westward bright lights revovling.,us,02/11/2019 00:00,120,35.4086111,-80.5797222,1221-concord (near)-other,other,Closed
moravia,Approximately 20 lights that sometimes flashed red and white were moving  through the sky.  They did not appear to be flying toward a c,us,02/11/2019 00:00,5400,42.7125,-76.4219444,1224-moravia-flash,flash,Active
oshkosh,On my way to work I was traveling south on highway 41 between Oshkosh and Fond Du Lac Wi. I was watching a plane high in the air spray,us,02/11/2019 00:00,7,44.0247222,-88.5425,1222-oshkosh-cylinder,cylinder,Active
carthage,I was traveling west on Hwy 79 and there was a super-bright star in the sky with a light going up the back and two red lights on the si,us,02/11/2019 00:00,7200,32.1572222,-94.3372222,1219-carthage-triangle,triangle,Pending
cookstown,the object was moving very slow  flashing  red and green lights  other  aircraft were moving going  on there normal route  i looked at,us,02/11/2019 00:00,1800,40.0488889,-74.5627778,1220-cookstown-cylinder,cylinder,Pending
costa mesa,Object was fairly still however would make unusually sharp moves on occasions.,us,02/11/2019 00:00,3600,33.6411111,-117.9177778,1218-costa mesa-light,light,Active
reseda,What looked like a star appeared to be flashing multi-colors and oscillating.,us,02/11/2019 00:00,7200,34.2011111,-118.5355556,1217-reseda-sphere,sphere,Closed
bullhead city,I was out with my dogs and watched a red light object moving slowly from so. to so. west and stopping and moving very slow.   It remain,us,02/11/2019 00:00,1200,35.1477778,-114.5675,1216-bullhead city-light,light,Pending
huntington beach,The sky was clear. I was on my porch smoking and I noticed three egg shaped lights in the sleigh of a triangle flying very fast...,us,02/11/2019 00:00,30,33.6602778,-117.9983333,1215-huntington beach-Sleigh,Sleigh,Pending
corinne,A bright white disk-shaped object flew in veiw.,us,02/11/2019 00:00,15,41.5511111,-112.1094444,1214-corinne-disk,disk,Closed
florence,saw a shiney object moving from west to east and i was looking north.it had no sound.,us,02/11/2019 00:00,60,32.1533333,-90.1311111,1213-florence-changing,changing,Active
laurel,Man entering Hwy. I-95 sees 2 round objs. hovering motionless in clear sky.  Color of pencil lead w/ copper.  Objs. STREAK in 1 sec.,us,02/11/2019 00:00,25,39.0991667,-76.8486111,1212-laurel-Sleigh,Sleigh,Active
brunswick county,Sheriffs office calls to rept. that deputy 20 mi. SSE of Wilmington  is looking at peculiar bright white strobing light.,us,02/11/2019 00:00,1800,0,0,1211-brunswick county-Sleigh,Sleigh,Pending
baldwin,I am a former pilot and current skydiving student.  I was near a small private airport in Baldwin WI watching several loads of jumpers,us,02/11/2019 00:00,7200,44.9666667,-92.3741667,1209-baldwin-light,light,Active
