Name,City,Comments,Country,Date Posted,Duration,Lat,Long,Shape,SS Status,Unique ID
1053-post falls-fireball,post falls,Driving eastbound I-90 near ID/WA stateline. Observed fireball with other cars stopped by side of highway for approx. 20 minutes.,us,10/02/2019,1200,47.71806,-116.95056,fireball,Closed,SS-7304
1054-everett-changing,everett,I watched a cylinder shaped object head west then changed form to a boomerang transparent like state and then it traveled south,us,10/02/2019,30,47.97917,-122.20083,changing,Closed,SS-7303
1055-vancouver-sphere,vancouver,2 floating white-ish orbs and 1 red spinning cube.,us,10/02/2019,20,45.63889,-122.66028,sphere,Closed,SS-7302
10568-gb-cigar,newcastle upon tyne (uk/england),As me and two of my friends were standing on the bridge we were looking up towards the sky when all of a sudden long shaped craft apper,gb,03/02/2004,25,54.98806,-1.61944,cigar,Pending,SS-8535
1056-galva/victoria/oak run-changing,galva/victoria/oak run,Three balls of light come out of a cornfield aprox.  40 yards above the ground and about 20 yards from the road.  Multiple sightings wi,us,10/02/2019,7200,40.96337,-90.14512,changing,Closed,SS-7301
10578-gb-Sleigh,chelmsford (uk/england),5 craft hovered in triangle sleigh and interupted all radio signals and vanished.,gb,03/02/2004,600,51.73333,0.48333,Sleigh,Active,SS-8532
1057-central lake-cylinder,central lake,Saw shiny metallic object in NW sky at sunset high on horizon. Appeared to be tilted at 45 degree angle hovering high above horizon.,us,10/02/2019,2400,45.07000,-85.26444,cylinder,Active,SS-7300
1058-new berlin-Sleigh,new berlin,The sleigh was roof high and I observed it very closely for at least 3 to 5 minutes,us,10/02/2019,60,42.97639,-88.10833,Sleigh,Pending,SS-7299
1059-manassas-Sleigh,manassas,The sleigh was roof high and I observed it very closely for at least 3 to 5 minutes,us,10/02/2019,40,38.75083,-77.47556,Sleigh,Pending,SS-7298
105-monterey bay/fort ord rifle range-disk,monterey bay/fort ord rifle range,Just before sun down (sun still shinning) hovering over the bay it was metallic in colorvery shiney.  It later moved slowly over the r,us,11/01/2018,1500,36.77826,-119.41793,disk,Pending,SS-8228
1060-wharton-triangle,wharton,while driving home from a football game my family and i saw 3 lights on the horizon,us,10/02/2019,180,40.86139,-83.46167,triangle,Active,SS-7297
1061-millsboro-egg,millsboro,Followed vehicle and occupants from Home to destination approximately 30 to 40minutes away. Stopped when vehicle stopped and appeared t,us,10/02/2019,2700,38.59139,-75.29167,egg,Active,SS-7296
1062-victor/teton mountain range-sleigh,victor/teton mountain range,Saw two very bright white lights to the east accompanied by several other dimmer white lights.  25 minutes of unusual movement individ,us,10/02/2019,1500,0.00000,0.00000,sleigh,Active,SS-7295
1063-hailey-Sleigh,hailey,The sleigh was roof high and I observed it very closely for at least 3 to 5 minutes,us,10/02/2019,0,43.51972,-114.31444,Sleigh,Active,SS-7294
1064-chico-other,chico,small silver object low flying in very strait line emitting what looked to be a thick bright billowy contrail the shape and length of,us,10/02/2019,300,39.72861,-121.83639,other,Active,SS-7293
1065-troy-triangle,troy,Very very large triangular object outlined with lights appearing from the west stopping briefly then disappearing in the east at a ve,us,10/02/2019,180,42.60556,-83.15000,triangle,Pending,SS-7292
10666-gb-cigar,blackburn (uk/england),Cigar/Rod shaped object rotating silently in the sky,gb,03/02/2004,600,55.86667,-3.63333,cigar,Active,SS-8533
1066-lower lake-triangle,lower lake,At 10:00pm our dogs and the neiborhood dogs started to bark.  I went outside to check why they were barking.  I looked around and saw i,us,10/02/2019,3600,38.91056,-122.60917,triangle,Closed,SS-7291
10672-gb-disk,paisley (uk/scotland),Several nights in a row unsual hovering lights in the sky flashing red white blue flashing on a wide object in the sky.,gb,03/02/2004,0,55.83333,-4.43333,disk,Active,SS-8530
10678-gb-diamond,nottingham (uk/england),it was getting closer then it quickly turned,gb,03/02/2004,1320,52.96667,-1.16667,diamond,Pending,SS-8531
1067-wilberfoss york (uk/england)-light,wilberfoss york (uk/england),Blue/white fanning light which closed to a point and gradually faded to ground level,us,10/02/2019,120,53.95105,-0.88472,light,Pending,SS-7290
1068-everett-light,everett,I watched a streak of light move in a southerly direction heading downward eventually disappearing behind the Olympic Mountains.,us,10/02/2019,300,47.97917,-122.20083,light,Active,SS-7289
10698-gb-changing,blackpool (uk/england),No lights wings. Double balloon shape rolling slowly across late afternoon sky.,gb,03/02/2004,600,53.81667,-3.05000,changing,Active,SS-8528
1069-ewen-fireball,ewen,Greenish blue fireball which appeared to be quite large in size.  Arced toward earth in a west to east direction but north of Ewen MI.,us,10/02/2019,1,46.53528,-89.28111,fireball,Active,SS-7288
106-fort lawn-oval,fort lawn,When I was 6 or 7 years old my sister and I were waiting early one morning to catch the school bus.  Across from our stop there was no,us,11/01/2018,1800,34.70209,-80.89480,oval,Pending,SS-8232
1070-nashville-Sleigh,nashville,The sleigh was roof high and I observed it very closely for at least 3 to 5 minutes,us,10/02/2019,60,36.16583,-86.78444,Sleigh,Pending,SS-7287
1071-riverside-other,riverside,two objects came from east to west then broke apart soon they came together again but now there were three they zigzagged between eacho,us,10/02/2019,600,33.95333,-117.39528,other,Pending,SS-7286
1072-duanesburg (mohawk valley)-light,duanesburg (mohawk valley),We could not identify shape since it was night.  The lights were identifiable.  Not as an airplane weve seen those often around here,us,10/02/2019,600,42.76194,-74.13417,light,Pending,SS-7285
1073-las vegas-disk,las vegas,(Peter: we discussed this over the phone with you last Saturday). My husband and I were outside in our spa in South Las Vegas. At 11:08,us,10/02/2019,240,36.17500,-115.13639,disk,Pending,SS-7284
1074-las vegas-oval,las vegas,Location:South Las Vegas Time/Date 9/25/99 at 11:08 pm Sighting:5 round objects (about 1/2 size of the full moon)appearing one at a tim,us,10/02/2019,420,36.17500,-115.13639,oval,Active,SS-7283
1075-lake oswego-sleigh,lake oswego,As reported directly to Peter Davenport by phone 9-25-99 23:25pm-------I went outside with binoculars to do a sky watch and was lookin,us,10/02/2019,240,45.42083,-122.66944,sleigh,Pending,SS-7282
1076-la grande-fireball,la grande,As I left my house I noticed to the northeast a fireball descending to the horizon behind the mountains surrounding our valley. I orig,us,10/02/2019,2,45.32472,-118.08667,fireball,Pending,SS-7281
1077-bellevue-triangle,bellevue,The object was black triangular and had some protrusions on the back (fat end of the triangle) that may have been tail fins like on a,us,10/02/2019,10,47.61056,-122.19944,triangle,Active,SS-7280
1078-calumet city (just south of chicagoill) ill-Sleigh,calumet city (just south of chicagoill) ill,The sleigh was roof high and I observed it very closely for at least 3 to 5 minutes,us,10/02/2019,2,41.61559,-87.52949,Sleigh,Active,SS-7279
1079-cape kennedy (@ imax theatre 1)-other,cape kennedy (@ imax theatre 1),During the film  Mission to Mir  there appears to be a narrow elongated football shaped light which crosses a black sky from left to,us,10/02/2019,15,28.38833,-80.60361,other,Closed,SS-7278
107-woodberry forest preparatory school va-light,woodberry forest preparatory school va,Seen out window:  Silent light 6-8 inches in diameter at arms length moved across sky illuminating winter tree leaves in front of i,us,11/01/2018,3,37.43157,-78.65689,light,Active,SS-8226
1080-canby-Sleigh,canby,Triangular sleigh pinpoints of white light sighted in the western sky.,us,10/02/2019,180,45.26306,-122.69139,Sleigh,Closed,SS-7277
1081-encino-light,encino,Saw a motionless light floating in the sky.  It flashed off and on at 1/2 second intervals then disapeared. From - Thu Sep 30 23:30:13,us,10/02/2019,120,34.15917,-118.50028,light,Active,SS-7276
1082-seaview (port elizabeth  eastern cape) (south africa)-other,seaview (port elizabeth  eastern cape) (south africa),Saw 2 lights like car headlights about 200meters in the sky just hovering a red light on one side of wing and a green light on the,us,10/02/2019,600,0.00000,0.00000,other,Active,SS-7275
1083-lubbock-other,lubbock,Meteor looking object very bright. Visible only 2 seconds after which it vanished. Suspected meteor however its trajectory was North,us,10/02/2019,2,33.57778,-101.85472,other,Active,SS-7274
10846-gb-triangle,manchester (uk/england),unknown flying object saw by myself and 2 friends it fell from the sky with lights flickering green triangle shaped,gb,11/02/2004,180,53.50000,-2.21667,triangle,Pending,SS-8529
1084-olathe-sphere,olathe,Traveling W to pick up son from school.  Saw extraordinarily bright orb slowly traveling N in straight line. Size was about diameter of,us,10/02/2019,60,38.88139,-94.81889,sphere,Active,SS-7273
1085-nashville-fireball,nashville,fiery object looking like craft in movie it came from outer space or comet-like with fiery tail observed traveling in nw direction fr,us,10/02/2019,300,36.16583,-86.78444,fireball,Active,SS-7272
1086-lawrence-triangle,lawrence,Pulled out of Checkers parking lot (grocery store)onto 23rd St. Driving East until I came onto 23rd &amp; Ohio St. Present with my wife,us,10/02/2019,180,38.97167,-95.23500,triangle,Pending,SS-7271
1087-overland park-fireball,overland park,Green fireball with trail headed N-NW in Eastern KS - arching downward - resembled size and speed of a single discharge from a roman ca,us,10/02/2019,4,38.98222,-94.67056,fireball,Active,SS-7270
1088-morrowville-sphere,morrowville,Fast noiseless highly reflective object seen,us,10/02/2019,20,39.84444,-97.17139,sphere,Pending,SS-7268
1089-mount vernon-disk,mount vernon,A disc shaped object glowing a dull red fading to magenta moving at extreeme velocity moving from north-northeast to the southwest over,us,10/02/2019,11,48.42139,-122.33278,disk,Active,SS-7269
108-los angeles (over i-10 on most rural bayou stretch)-Sleigh,los angeles (over i-10 on most rural bayou stretch),Metallic Sleigh seen hovering silently directly over eastbound lanes.Light underneath shined UP onto craft-was being moved by humandoid s,us,11/01/2018,120,34.05222,-118.24278,Sleigh,Active,SS-8230
1090-san jose-other,san jose,I saw a strangely burning object about 10x as large as a flair. It wobbled and an angular shape could be seen within it.   sighting,us,10/02/2019,2,37.33944,-121.89389,other,Active,SS-7266
1091-salem-Sleigh,salem,The sleigh was roof high and I observed it very closely for at least 3 to 5 minutes,us,10/02/2019,2100,44.94306,-123.03389,Sleigh,Closed,SS-7267
1092-tonasket (20 miles east of)-light,tonasket (20 miles east of),revolving multi-colored lights,us,10/02/2019,1800,48.70528,-119.43833,light,Active,SS-7264
10937-gb-light,hastings (uk/england),slow moving bright ball of light like a white  flair,gb,11/02/2004,5,50.85000,0.60000,light,Active,SS-8526
1093-hartsdale/white plains-triangle,hartsdale/white plains,Observed at altitude of approximately 300 feet based on ceiling (5000) and aircraft approaching local airport (White Plains Airport).,us,10/02/2019,420,41.04981,-73.77314,triangle,Pending,SS-7265
1094-red rock canyon-Sleigh,red rock canyon,I took several pictures in Red Rock Canyon near Las Vegas on the fourth of Sept.  I had them developed the other day and in one of the,us,10/02/2019,2,36.16358,-115.50529,Sleigh,Pending,SS-7262
1095-nashville-light,nashville,I had walked out back and looked up at the sky and a golden light was moving slowly across the sky.  There were no flashing lights so I,us,10/02/2019,6,36.16583,-86.78444,light,Pending,SS-7263
1096-tonasket (20 miles east of)-light,tonasket (20 miles east of),varying speed pulsating light very bright to very dim,us,10/02/2019,1200,48.70528,-119.43833,light,Closed,SS-7260
1097-pedasi (panama)-light,pedasi (panama),We were standing on the beach at Pedasi (on the Azuero Penninsula) waiting for our boatman to bring the boat from its mooring to the be,us,10/02/2019,1200,7.55000,-80.01667,light,Active,SS-7261
10983-gb-Sleigh,london (uk/england),18:25 on 11/11/04 several light sleighs seen circling sky underneath clouds.,gb,12/03/2004,0,51.51412,-0.09369,Sleigh,Pending,SS-8527
1098-durham-rectangle,durham,We saw a white rectangular-shaped object very high in the eastern sky moving very slowly.,us,10/02/2019,10,43.13389,-70.92694,rectangle,Active,SS-7258
10990-gb-diamond,wiltshire (uk/england),shining diamond object above my friends heads(smaller than football ball). I had make three picture with 5.2 MP camra object is moving,gb,12/03/2004,0,51.25000,-1.91667,diamond,Closed,SS-8523
1099-zumbrota-Sleigh,zumbrota,The sleigh was roof high and I observed it very closely for at least 3 to 5 minutes,us,10/02/2019,4,44.29417,-92.66889,Sleigh,Active,SS-7259
109-anderson-other,anderson,All I saw was a blue-green light flash from one part of the sky to the other in a north/south direction. this flash started in the atmo,us,11/01/2018,5,40.44833,-122.29667,other,Closed,SS-8224
10-bar harbor (bar island crossover)-sphere,bar harbor (bar island crossover),My friend Steven and I were crossing over to Bar Island at low tide when we witnesses a green spherical object crossing the sky at a gr,us,11/01/2018,30,44.38750,-68.20444,sphere,Pending,SS-8327
1100-wiley-Sleigh,wiley,Three lights moving in sleigh.,us,10/02/2019,0,0.00000,0.00000,Sleigh,Active,SS-7256
1101-brule-Sleigh,brule,Triangular sleigh of three lights moving across the sky.,us,10/02/2019,600,46.55306,-91.57639,Sleigh,Active,SS-7257
1102-salem-other,salem,large greenish white umbrella shaped object coming in fast left ionized trail.,us,10/02/2019,3,44.94306,-123.03389,other,Pending,SS-7254
1103-witchita falls/ft worth (between)-fireball,witchita falls/ft worth (between),an orange light observed going from the N.W to the S.E on 09/07/99 lower tx panhandle,us,10/02/2019,120,33.90091,-98.48074,fireball,Active,SS-7255
1104-madison-light,madison,saw red light over lake. dived into two one changed color revoled around each other. merged togeter shot stight up.,us,10/02/2019,300,43.07306,-89.40111,light,Active,SS-7252
11055-gb-Sleigh,thankerton (uk/scotland),Sleigh Sighting,gb,12/03/2004,120,55.61667,-3.61667,Sleigh,Closed,SS-8525
1105-charlotte cty to sarasota on hwy. 75-light,charlotte cty to sarasota on hwy. 75,I saw a white clow it looked like a jetliner crashing.  I dont believe in spacecrafts but I thought maybe I should.  Manatee and Hil,us,10/02/2019,60,27.66483,-81.51575,light,Pending,SS-7253
1106-manasota key-fireball,manasota key,It looked like six Jumbo jets flying together inunison but they were not aircrafts.  They were too fast he said.  They looked like,us,10/02/2019,60,26.92500,-82.35222,fireball,Pending,SS-7251
11070-gb-light,london (heathrow cranford) (uk/england),Well i saw three lights above the clouds the clouds were very scarce and scattered above you can see the dark sky and the stars.,gb,12/03/2004,600,51.51412,-0.09369,light,Active,SS-8521
1108-lake oswego-Sleigh,lake oswego,While listening to Peter Davenport on Art Bells Show 9-7-99 about the Sleigh reports out of Oregon I decided to go outside during the br,us,10/02/2019,300,45.42083,-122.66944,Sleigh,Pending,SS-7249
11093-gb-Sleigh,dunstable (uk/england),Sleigh dancing,gb,12/03/2004,600,51.88333,-0.51667,Sleigh,Pending,SS-8524
1109-central florida-Sleigh,central florida,Channel 9 WFTV ran a tape of the object seen over the Central Florida area last Tuesday (?).  It was rather a good tape so perhaps y,us,10/02/2019,0,28.54218,-81.46032,Sleigh,Closed,SS-7250
110-superior-triangle,superior,Object was a blue triangle with a long tail on either ends of the rear it,us,11/01/2018,0,47.19167,-114.89083,triangle,Active,SS-8229
1110-andover-Sleigh,andover,emmited a green/white glow,us,10/02/2019,86400,42.65833,-71.13750,Sleigh,Closed,SS-7248
1111-desert aire (mattawa)-other,desert aire (mattawa),Very bright yellowish with flames from short tail.  Travelling horiz. East above Saddle Mountains. Second one appeared going in opposi,us,10/02/2019,1200,46.67944,-119.91611,other,Active,SS-7247
1112-redding airport-light,redding airport,Chased light approxamentley 1400 miles in plane at mk. 3.8 for 1.8 hours,us,10/02/2019,167,40.51172,-122.29864,light,Closed,SS-7245
1113-denver-light,denver,A star was moving grew very bright then faded out. a few minutes later  we spotted two stars moving fast North and South.  Then we s,us,10/02/2019,900,39.73917,-104.98417,light,Active,SS-7246
1114-chico-fireball,chico,large solid spherical bright emerald green with yellow fiery tail coming across sky at a slow downward angle.  No impact felt or hear,us,10/02/2019,7,39.72861,-121.83639,fireball,Closed,SS-7243
1115-savannah-disk,savannah,Unable to sleep looking out window became aware of something coming over top of building lit from beneath almost luminescent. Slowl,us,10/02/2019,30,32.08333,-81.10000,disk,Active,SS-7244
1116-mentor-changing,mentor,got up lights went out saw light outside square balloon-shapes objcets and sm. gold discs lights changed shape got scared then saw b,us,10/02/2019,0,41.66611,-81.33972,changing,Active,SS-7241
