Return ID,Size,Gender,Item Code,Item Description,Return Description,Brand,Return Type,Date logged,City,Area Code,Origin,Stage,Sub Status,Returned Successfully,Satisfaction,Within SLA,Closed date
39,XL,Men,Prod007,Street Fashion - Black Cargo Trousers,Pockets have huge holes in them.,Street Fashion,General Return,01/03/2019,Birmingham,B26 3UB ,Chat,Stage 2,Decision Pending,FALSE,8,TRUE,16/03/2019
40,XXL,Women,Prod008,Tattoo - Branded Skate Dress,Print on the item is cracking badley.,Tattoo,Incorrect Fitting,01/04/2019,Birmingham,B18 5QS,Social,Completed,Upheld,FALSE,0,TRUE,16/04/2019
41,S,Mixed,Prod009,Thrasher - T Shirt,I realised that the product whas not what I was looking for.,Thrasher,Incorrect Fitting,01/07/2019,Birmingham,B28 8ND ,Web,Stage 1,Rejected,TRUE,0,TRUE,16/07/2019
42,M,Men,Prod010,Palm - Hawiaan Shirt,The product was delivered in triplicate for no reason.,Palm,Quality of Product,01/06/2019,Birmingham,B32 2ES ,Phone,Stage 2,Closed,TRUE,3,TRUE,16/06/2019
43,L,Women,Prod011,JawBreaker - Alternative Dress,The dress is far too short and does not match the style guide.,JawBreaker,Incorrect Fitting,01/07/2019,Birmingham,B15 1QL ,Letter,Stage 3,Acknowledged,FALSE,5,TRUE,16/07/2019
44,XL,Mixed,Prod012,Keep Calm - Skate Hoodie,The sleeves on the hoodie are very badly stitched.,Keep Calm,General Return,01/08/2019,Birmingham,B26 3UF ,In Store,Completed,In Progress,FALSE,0,FALSE,30/09/2019
45,XXL,Mixed,Prod013,Vans - Hoodie,The hoodie is not the style I expected at all.,Vans,Incorrect Fitting,01/09/2019,Birmingham,B18 5QT,Social,Stage 2,Decision Pending,FALSE,8,TRUE,16/09/2019
46,S,Women,Prod014,DC - Womens Skate Shoes,The shoes are great but are just not the right style.,DC,Quality of Product,01/10/2019,Birmingham,B28 8NE ,Web,Stage 2,Decision Pending,FALSE,2,TRUE,16/10/2019
47,M,Mixed,Prod015,Vans - Unisex Checked Shoes,These are registered as unisex but are definitly far more masculine than feminine.,Vans,Quality of Product,01/11/2019,Birmingham,B28 8NF ,Phone,Stage 3,Upheld,FALSE,1,FALSE,30/01/2020
48,L,Men,Prod002,Santa Cruz - Branded Womens Shirt,Your customer service was just inexcusibly terrible. I cant use ths product in good conscience.,Santa Cruz,Quality of Product,01/12/2019,Birmingham,B15 1QP ,In Store,Completed,Decision Pending,FALSE,6,TRUE,16/12/2019
49,XL,Men,Prod001,Blind - Branded mens Skate Shirt,The item just didn’t fit correctly and I need to exchange for a new one.,Blind,General Return,01/01/2019,Birmingham,B26 3UG ,Phone,Stage 2,Closed,TRUE,8,TRUE,16/01/2019
50,XXL,Women,Prod002,Santa Cruz - Branded Womens Shirt,The product was not stitched together correctly and I'd like to exchange.,Santa Cruz,Unexpected Issue,01/07/2019,Birmingham,B23 5FU,Social,Stage 2,Acknowledged,FALSE,1,FALSE,29/09/2019
51,S,Mixed,Prod003,World Industries - Branded Hoodie,The item was far too smal. I think the size guide is incorrect.,World Industries,Incorrect Fitting,01/03/2019,Birmingham,B28 8NG,In Store,Stage 3,In Progress,FALSE,1,TRUE,16/03/2019
52,M,Men,Prod004,GAP - Mens jeans,The hems keep breaking and the belt loops do nto fit any belt.,GAP,General Return,01/04/2019,Birmingham,B32 2ET ,Phone,Stage 2,Decision Pending,FALSE,3,TRUE,16/04/2019
53,L,Men,Prod015,Vans - Unisex Checked Shoes,These are registered as unisex but are definitly far more masculine than feminine.,Vans,Unexpected Issue,01/05/2019,Birmingham,B15 1QT ,Letter,Stage 1,Decision Pending,FALSE,1,FALSE,30/07/2019
54,XL,Women,Prod002,Santa Cruz - Branded Womens Shirt,Your customer service was just inexcusibly terrible. I cant use ths product in good conscience.,Santa Cruz,Unexpected Issue,01/06/2019,Birmingham,B26 3YG ,Chat,Stage 2,Upheld,FALSE,7,TRUE,16/06/2019
55,XXL,Men,Prod010,Palm - Hawiaan Shirt,The product was delivered in triplicate for no reason.,Palm,Unexpected Issue,01/07/2019,Birmingham,B11 1NU ,In Store,Stage 3,Rejected,TRUE,2,TRUE,16/07/2019
56,S,Women,Prod011,JawBreaker - Alternative Dress,The dress is far too short and does not match the style guide.,JawBreaker,General Return,01/08/2019,Birmingham,B28 8ES ,Web,Completed,Closed,FALSE,0,FALSE,30/09/2019
57,M,Mixed,Prod012,Keep Calm - Skate Hoodie,The sleeves on the hoodie are very badly stitched.,Keep Calm,Customer Service Failure,01/09/2019,Birmingham,B32 2EU,In Store,Stage 1,Acknowledged,FALSE,4,TRUE,16/09/2019
58,L,Mixed,Prod013,Vans - Hoodie,The hoodie is not the style I expected at all.,Vans,Incorrect Fitting,01/10/2019,Birmingham,B15 1QZ ,In Store,Stage 2,In Progress,FALSE,7,TRUE,16/10/2019
59,L,Women,Prod011,JawBreaker - Alternative Dress,The dress is far too short and does not match the style guide.,JawBreaker,General Return,01/11/2019,Birmingham,B28 8EU ,Phone,Stage 2,Decision Pending,FALSE,1,FALSE,30/01/2020
60,XXL,Mixed,Prod012,Keep Calm - Skate Hoodie,The sleeves on the hoodie are very badly stitched.,Keep Calm,Incorrect Fitting,01/07/2019,Birmingham,B11 1NY ,Social,Completed,Decision Pending,FALSE,10,TRUE,16/07/2019
61,S,Mixed,Prod013,Vans - Hoodie,The hoodie is not the style I expected at all.,Vans,General Return,01/01/2019,Birmingham,B28 8EX ,Web,Stage 1,Upheld,FALSE,1,TRUE,16/01/2019
62,M,Women,Prod014,DC - Womens Skate Shoes,The shoes are great but are just not the right style.,DC,Quality of Product,01/02/2019,Birmingham,B17 0HH,Phone,Stage 2,Rejected,TRUE,3,TRUE,16/02/2019
63,L,Mixed,Prod015,Vans - Unisex Checked Shoes,These are registered as unisex but are definitly far more masculine than feminine.,Vans,Incorrect Fitting,01/03/2019,Birmingham,B15 1RA ,In Store,Stage 2,Closed,TRUE,5,TRUE,16/03/2019
64,XL,Men,Prod002,Santa Cruz - Branded Womens Shirt,Your customer service was just inexcusibly terrible. I cant use ths product in good conscience.,Santa Cruz,Quality of Product,01/04/2019,Birmingham,B26 3YH,Chat,Completed,Acknowledged,FALSE,7,TRUE,16/04/2019
65,XXL,Men,Prod001,Blind - Branded mens Skate Shirt,The item just didn’t fit correctly and I need to exchange for a new one.,Blind,Incorrect Fitting,01/05/2019,Birmingham,B11 1PB,In Store,Stage 1,In Progress,FALSE,0,FALSE,30/07/2019
66,S,Women,Prod002,Santa Cruz - Branded Womens Shirt,The product was not stitched together correctly and I'd like to exchange.,Santa Cruz,Quality of Product,01/06/2019,Birmingham,B28 8EY ,Web,Stage 2,Decision Pending,FALSE,2,TRUE,16/06/2019
67,M,Men,Prod015,Vans - Unisex Checked Shoes,These are registered as unisex but are definitly far more masculine than feminine.,Vans,Quality of Product,01/07/2019,Birmingham,B17 0EQ,Phone,Stage 3,Decision Pending,FALSE,4,TRUE,16/07/2019
68,L,Women,Prod002,Santa Cruz - Branded Womens Shirt,Your customer service was just inexcusibly terrible. I cant use ths product in good conscience.,Santa Cruz,Quality of Product,01/08/2019,Birmingham,B15 1RP ,Letter,Stage 2,Upheld,FALSE,6,FALSE,30/10/2019
69,XL,Men,Prod010,Palm - Hawiaan Shirt,The product was delivered in triplicate for no reason.,Palm,General Return,01/09/2019,Birmingham,B26 3BN ,Chat,Stage 2,Rejected,TRUE,4,TRUE,16/09/2019
70,XXL,Women,Prod011,JawBreaker - Alternative Dress,The dress is far too short and does not match the style guide.,JawBreaker,Unexpected Issue,01/10/2019,Birmingham,B14 7QD ,Phone,Stage 2,Decision Pending,FALSE,10,TRUE,16/10/2019
71,S,Mixed,Prod012,Keep Calm - Skate Hoodie,The sleeves on the hoodie are very badly stitched.,Keep Calm,Incorrect Fitting,01/07/2019,Birmingham,B28 8EZ ,Web,Stage 3,Acknowledged,FALSE,7,FALSE,29/09/2019
72,M,Mixed,Prod013,Vans - Hoodie,The hoodie is not the style I expected at all.,Vans,Quality of Product,01/12/2019,Birmingham,B17 0HW,In Store,Completed,In Progress,FALSE,3,TRUE,16/12/2019
73,L,Mixed,Prod009,Thrasher - T Shirt,I realised that the product whas not what I was looking for.,Thrasher,Unexpected Issue,01/01/2019,Birmingham,B15 1RX ,Letter,Stage 1,Decision Pending,FALSE,5,TRUE,16/01/2019
74,XL,Men,Prod010,Palm - Hawiaan Shirt,The product was delivered in triplicate for no reason.,Palm,Unexpected Issue,01/02/2019,Birmingham,B28 8HG,Chat,Stage 2,Decision Pending,FALSE,0,FALSE,02/05/2019
75,XXL,Women,Prod011,JawBreaker - Alternative Dress,The dress is far too short and does not match the style guide.,JawBreaker,Unexpected Issue,01/03/2019,Birmingham,B14 7QE,Social,Stage 3,Upheld,FALSE,3,TRUE,16/03/2019
76,L,Mixed,Prod012,Keep Calm - Skate Hoodie,The sleeves on the hoodie are very badly stitched.,Keep Calm,General Return,01/04/2019,Birmingham,B28 0TL ,Web,Completed,Rejected,TRUE,3,TRUE,16/04/2019
77,M,Mixed,Prod013,Vans - Hoodie,The hoodie is not the style I expected at all.,Vans,Customer Service Failure,01/05/2019,Birmingham,B17 9JY ,Phone,Stage 1,Closed,TRUE,1,FALSE,30/06/2019
78,L,Women,Prod014,DC - Womens Skate Shoes,The shoes are great but are just not the right style.,DC,Incorrect Fitting,01/06/2019,Birmingham,B15 1TH ,In Store,Stage 2,Acknowledged,FALSE,6,TRUE,16/06/2019
79,XL,Mixed,Prod015,Vans - Unisex Checked Shoes,These are registered as unisex but are definitly far more masculine than feminine.,Vans,General Return,01/07/2019,Birmingham,B26 3BP ,Chat,Stage 3,In Progress,FALSE,8,TRUE,16/07/2019
80,XXL,Men,Prod002,Santa Cruz - Branded Womens Shirt,Your customer service was just inexcusibly terrible. I cant use ths product in good conscience.,Santa Cruz,Incorrect Fitting,01/08/2019,Birmingham,B18 5NR,Social,Completed,Decision Pending,FALSE,7,TRUE,16/08/2019
81,S,Men,Prod001,Blind - Branded mens Skate Shirt,The item just didn’t fit correctly and I need to exchange for a new one.,Blind,Incorrect Fitting,01/09/2019,Birmingham,B28 0TP,Web,Stage 2,Decision Pending,FALSE,1,TRUE,16/09/2019
82,M,Women,Prod002,Santa Cruz - Branded Womens Shirt,The product was not stitched together correctly and I'd like to exchange.,Santa Cruz,Quality of Product,01/10/2019,Birmingham,B17 9LA ,In Store,Stage 2,Decision Pending,FALSE,3,TRUE,16/10/2019
83,L,Mixed,Prod003,World Industries - Branded Hoodie,The item was far too smal. I think the size guide is incorrect.,World Industries,Incorrect Fitting,01/07/2019,Birmingham,B15 1TS ,In Store,Stage 3,Rejected,TRUE,1,TRUE,16/07/2019
84,XL,Men,Prod004,GAP - Mens jeans,The hems keep breaking and the belt loops do nto fit any belt.,GAP,Quality of Product,01/12/2019,Birmingham,B26 3DA ,Chat,Completed,Closed,FALSE,1,FALSE,30/01/2020
85,XXL,Women,Prod005,Puma - Womens Runing Leggings,The product is far too big and the waist is unreasonably small.,Puma,Incorrect Fitting,01/01/2019,Birmingham,B24 8HE,In Store,Stage 1,Acknowledged,FALSE,7,TRUE,16/01/2019
86,S,Mixed,Prod006,Stussy - Fitted T Shirt,The stitched logo keeps loosing threads and is coming apart.,Stussy,Quality of Product,01/02/2019,Birmingham,B28 8RJ ,In Store,Stage 2,In Progress,FALSE,1,FALSE,02/05/2019
87,M,Men,Prod007,Street Fashion - Black Cargo Trousers,Pockets have huge holes in them.,Street Fashion,Quality of Product,01/03/2019,Birmingham,B17 9LB ,In Store,Stage 2,Decision Pending,FALSE,4,TRUE,16/03/2019
88,L,Women,Prod008,Tattoo - Branded Skate Dress,Print on the item is cracking badley.,Tattoo,Quality of Product,01/04/2019,Birmingham,B15 1TT ,Letter,Stage 2,Decision Pending,FALSE,7,TRUE,16/04/2019
89,L,Mixed,Prod009,Thrasher - T Shirt,I realised that the product whas not what I was looking for.,Thrasher,General Return,01/05/2019,Birmingham,B26 3DB ,Chat,Stage 1,Upheld,FALSE,3,FALSE,30/06/2019
90,XXL,Men,Prod010,Palm - Hawiaan Shirt,The product was delivered in triplicate for no reason.,Palm,Unexpected Issue,01/06/2019,Birmingham,B28 8RL ,In Store,Stage 2,Rejected,TRUE,2,TRUE,16/06/2019
91,S,Women,Prod011,JawBreaker - Alternative Dress,The dress is far too short and does not match the style guide.,JawBreaker,Incorrect Fitting,01/07/2019,Birmingham,B28 8RN ,Web,Stage 3,Closed,TRUE,7,TRUE,16/07/2019
92,M,Men,Prod015,Vans - Unisex Checked Shoes,These are registered as unisex but are definitly far more masculine than feminine.,Vans,Quality of Product,01/08/2019,Birmingham,B17 9LG,In Store,Completed,Acknowledged,FALSE,1,FALSE,15/09/2019
93,L,Women,Prod002,Santa Cruz - Branded Womens Shirt,Your customer service was just inexcusibly terrible. I cant use ths product in good conscience.,Santa Cruz,Unexpected Issue,01/09/2019,Birmingham,B15 3AW,In Store,Stage 2,In Progress,FALSE,5,TRUE,16/09/2019
94,L,Men,Prod010,Palm - Hawiaan Shirt,The product was delivered in triplicate for no reason.,Palm,Unexpected Issue,01/10/2019,Birmingham,B26 3DL ,Chat,Stage 2,Decision Pending,FALSE,7,TRUE,16/10/2019
95,XXL,Women,Prod011,JawBreaker - Alternative Dress,The dress is far too short and does not match the style guide.,JawBreaker,Unexpected Issue,01/11/2019,Birmingham,B29 4NS ,Social,Stage 3,Decision Pending,FALSE,1,FALSE,30/01/2020
96,S,Mixed,Prod012,Keep Calm - Skate Hoodie,The sleeves on the hoodie are very badly stitched.,Keep Calm,General Return,01/07/2019,Birmingham,B28 8RP ,In Store,Stage 2,Upheld,FALSE,2,TRUE,16/07/2019
97,M,Mixed,Prod013,Vans - Hoodie,The hoodie is not the style I expected at all.,Vans,Customer Service Failure,01/01/2019,Birmingham,B17 0BN,Phone,Stage 2,Rejected,TRUE,2,TRUE,16/01/2019
98,L,Women,Prod002,Santa Cruz - Branded Womens Shirt,The product was not stitched together correctly and I'd like to exchange.,Santa Cruz,Incorrect Fitting,01/02/2019,Birmingham,B15 1QS,Letter,Stage 2,Closed,TRUE,1,FALSE,02/05/2019
99,XL,Mixed,Prod003,World Industries - Branded Hoodie,The item was far too smal. I think the size guide is incorrect.,World Industries,General Return,01/03/2019,Birmingham,B26 3DN,Chat,Stage 3,Acknowledged,FALSE,8,TRUE,16/03/2019
100,XXL,Men,Prod004,GAP - Mens jeans,The hems keep breaking and the belt loops do nto fit any belt.,GAP,Incorrect Fitting,01/04/2019,Birmingham,B29 4NT ,In Store,Completed,In Progress,FALSE,7,TRUE,16/04/2019
101,L,Women,Prod005,Puma - Womens Runing Leggings,The product is far too big and the waist is unreasonably small.,Puma,Incorrect Fitting,01/05/2019,Birmingham,B28 8RW ,Web,Stage 1,Decision Pending,FALSE,1,TRUE,16/05/2019
102,M,Mixed,Prod006,Stussy - Fitted T Shirt,The stitched logo keeps loosing threads and is coming apart.,Stussy,Quality of Product,01/06/2019,Birmingham,B17 9AP,Phone,Stage 2,Decision Pending,FALSE,3,TRUE,16/06/2019
103,L,Men,Prod007,Street Fashion - Black Cargo Trousers,Pockets have huge holes in them.,Street Fashion,Incorrect Fitting,01/07/2019,Birmingham,B15 1TR,In Store,Stage 3,Upheld,FALSE,5,TRUE,16/07/2019
104,L,Women,Prod008,Tattoo - Branded Skate Dress,Print on the item is cracking badley.,Tattoo,Quality of Product,01/08/2019,Birmingham,B26 1JP ,In Store,Stage 2,Rejected,TRUE,1,TRUE,16/08/2019
105,L,Mixed,Prod009,Thrasher - T Shirt,I realised that the product whas not what I was looking for.,Thrasher,Incorrect Fitting,01/09/2019,Birmingham,B29 4NU ,Phone,Stage 1,Closed,TRUE,8,TRUE,16/09/2019
106,S,Men,Prod010,Palm - Hawiaan Shirt,The product was delivered in triplicate for no reason.,Palm,Quality of Product,01/10/2019,Birmingham,B28 9DB ,Phone,Stage 2,Acknowledged,FALSE,7,TRUE,16/10/2019
107,L,Women,Prod011,JawBreaker - Alternative Dress,The dress is far too short and does not match the style guide.,JawBreaker,Quality of Product,01/11/2019,Birmingham,B17 9EX ,Phone,Stage 3,In Progress,FALSE,0,FALSE,01/12/2019
108,L,Mixed,Prod012,Keep Calm - Skate Hoodie,The sleeves on the hoodie are very badly stitched.,Keep Calm,Quality of Product,01/12/2019,Birmingham,B16 9BH ,Letter,Completed,Decision Pending,FALSE,6,TRUE,16/12/2019
109,XL,Mixed,Prod013,Vans - Hoodie,The hoodie is not the style I expected at all.,Vans,General Return,01/01/2019,Birmingham,B28 9DE ,In Store,Stage 2,Decision Pending,FALSE,8,TRUE,16/01/2019
110,L,Women,Prod014,DC - Womens Skate Shoes,The shoes are great but are just not the right style.,DC,Unexpected Issue,01/02/2019,Birmingham,B28 9DE ,In Store,Stage 2,Decision Pending,FALSE,1,FALSE,02/05/2019
111,S,Mixed,Prod015,Vans - Unisex Checked Shoes,These are registered as unisex but are definitly far more masculine than feminine.,Vans,Incorrect Fitting,01/07/2019,Birmingham,B28 9DF ,Web,Stage 2,Rejected,TRUE,1,TRUE,16/07/2019
112,M,Men,Prod002,Santa Cruz - Branded Womens Shirt,Your customer service was just inexcusibly terrible. I cant use ths product in good conscience.,Santa Cruz,Quality of Product,01/04/2019,Birmingham,B17 9EY ,Phone,Completed,Closed,FALSE,1,FALSE,31/05/2019
113,L,Men,Prod001,Blind - Branded mens Skate Shirt,The item just didn’t fit correctly and I need to exchange for a new one.,Blind,Unexpected Issue,01/05/2019,Birmingham,B16 9BJ,Letter,Stage 1,Acknowledged,FALSE,1,FALSE,30/06/2019
114,L,Women,Prod002,Santa Cruz - Branded Womens Shirt,The product was not stitched together correctly and I'd like to exchange.,Santa Cruz,Unexpected Issue,01/06/2019,Birmingham,B26 3DY ,Chat,Stage 2,In Progress,FALSE,7,TRUE,16/06/2019
115,XXL,Mixed,Prod003,World Industries - Branded Hoodie,The item was far too smal. I think the size guide is incorrect.,World Industries,Unexpected Issue,01/07/2019,Birmingham,B29 4NZ ,In Store,Stage 3,Decision Pending,FALSE,8,TRUE,16/07/2019
116,S,Men,Prod004,GAP - Mens jeans,The hems keep breaking and the belt loops do nto fit any belt.,GAP,General Return,01/08/2019,Birmingham,B28 9DH ,Phone,Completed,Decision Pending,FALSE,1,FALSE,30/09/2019
117,M,Women,Prod005,Puma - Womens Runing Leggings,The product is far too big and the waist is unreasonably small.,Puma,Customer Service Failure,01/09/2019,Birmingham,B17 9HA ,Phone,Stage 1,Upheld,FALSE,4,TRUE,16/09/2019
118,L,Mixed,Prod006,Stussy - Fitted T Shirt,The stitched logo keeps loosing threads and is coming apart.,Stussy,Incorrect Fitting,01/10/2019,Birmingham,B15 2NG ,In Store,Stage 2,Rejected,TRUE,2,TRUE,16/10/2019
