Unique ID,Complaint Description,Category,Date logged,Area Code,Ward,Country,Origin,Stage,Sub Status,Closed Successfully,Satisfaction,Within SLA,Closed date
947,You didn’t collect my recyceling last week and now I have a huge backup of waste.,Bin Collections,01/11/2019,B23 5LW,Birminham City Center,UK,Phone,Stage 3,In Progress,FALSE,1,FALSE,02/12/2019
287,Candidate was inexperienced and unable to deliver on what was required,Bin Collections,01/11/2019,B28 8NB ,Hall Green,UK,Phone,Stage 3,Decision Pending,FALSE,4,FALSE,02/12/2019
683,There was garbage all ove the floor when you did your last bin collection,Bin Collections,01/11/2019,B32 2EP ,Harborne,UK,Letter,Stage 3,Decision Pending,FALSE,1,FALSE,02/12/2019
320,There was garbage all over the road during the last bin collection.,Bin Collections,01/08/2019,B16 8HZ,Edgbaston,UK,Social,Ombudsman,Complaint Upheld,FALSE,1,FALSE,01/09/2019
716,I need some of those special bin bags so my colletion is a lot cleaner.,Bin Collections,01/08/2019,B26 3UB ,Sheldon,UK,Web,Ombudsman,In Progress,FALSE,0,FALSE,01/09/2019
56,The bin collectors left my bins all over the pavement.,Bin Collections,01/08/2019,B18 5QS,Birminham City Center,UK,Web,Ombudsman,Closed,FALSE,0,FALSE,01/09/2019
452,My Bins werent collected and it is a huge inconveience to me. Please sort it out.,Bin Collections,01/07/2019,B28 8ND ,Hall Green,UK,Phone,Ombudsman,Decision Pending,FALSE,3,FALSE,01/08/2019
848,Please may I have a bigger bin,Bin Collections,01/08/2019,B32 2ES ,Harborne,UK,Phone,Ombudsman,Acknowledged,FALSE,0,FALSE,01/09/2019
188,You didn’t collect my recyceling last week and now I have a huge backup of waste.,Bin Collections,01/08/2019,B15 1QL ,Edgbaston,UK,Letter,Ombudsman,Complaint Rejected,TRUE,1,TRUE,01/09/2019
584,Candidate was inexperienced and unable to deliver on what was required,Bin Collections,01/08/2019,B26 3UF ,Sheldon,UK,Chat,Ombudsman,Decision Pending,FALSE,1,FALSE,01/09/2019
980,There was garbage all ove the floor when you did your last bin collection,Bin Collections,01/08/2019,B18 5QT,Birminham City Center,UK,Social,Ombudsman,Closed,FALSE,0,FALSE,01/09/2019
331,There was garbage all over the road during the last bin collection.,Bin Collections,01/07/2019,B28 8NE ,Hall Green,UK,Web,Stage 3,In Progress,FALSE,1,TRUE,01/08/2019
727,I need some of those special bin bags so my colletion is a lot cleaner.,Bin Collections,01/07/2019,B28 8NF ,Hall Green,UK,Phone,Stage 3,Complaint Rejected,TRUE,4,TRUE,01/08/2019
199,The bin collectors left my bins all over the pavement.,Bin Collections,01/07/2019,B15 1QP ,Edgbaston,UK,Chat,Stage 3,Decision Pending,FALSE,8,TRUE,01/08/2019
595,My Bins werent collected and it is a huge inconveience to me. Please sort it out.,Bin Collections,01/07/2019,B26 3UG ,Sheldon,UK,Phone,Stage 3,Closed,TRUE,8,TRUE,01/08/2019
991,Please may I have a bigger bin,Bin Collections,01/07/2019,B23 5FU,Birminham City Center,UK,Web,Stage 3,Decision Pending,FALSE,1,TRUE,01/08/2019
67,You didn’t collect my recyceling last week and now I have a huge backup of waste.,Bin Collections,01/07/2019,B28 8NG,Hall Green,UK,Phone,Stage 3,Decision Pending,FALSE,4,TRUE,01/08/2019
463,Candidate was inexperienced and unable to deliver on what was required,Bin Collections,01/07/2019,B32 2ET ,Harborne,UK,Letter,Stage 3,Decision Pending,FALSE,5,TRUE,01/08/2019
859,There was garbage all ove the floor when you did your last bin collection,Bin Collections,01/07/2019,B15 1QT ,Edgbaston,UK,Chat,Stage 3,Complaint Upheld,FALSE,8,TRUE,01/08/2019
34,There was garbage all over the road during the last bin collection.,Bin Collections,01/10/2019,B26 3YG ,Sheldon,UK,Chat,Stage 2,Complaint Rejected,TRUE,3,TRUE,01/11/2019
430,I need some of those special bin bags so my colletion is a lot cleaner.,Bin Collections,01/10/2019,B11 1NU ,Birminham City Center,UK,Social,Stage 2,Decision Pending,FALSE,7,TRUE,01/11/2019
826,The bin collectors left my bins all over the pavement.,Bin Collections,01/10/2019,B28 8ES ,Hall Green,UK,Web,Stage 2,Decision Pending,FALSE,2,TRUE,01/11/2019
298,My Bins werent collected and it is a huge inconveience to me. Please sort it out.,Bin Collections,01/10/2019,B32 2EU,Harborne,UK,Letter,Stage 2,Decision Pending,FALSE,6,TRUE,01/11/2019
694,Please may I have a bigger bin,Bin Collections,01/10/2019,B15 1QZ ,Edgbaston,UK,Chat,Stage 2,Acknowledged,FALSE,7,TRUE,01/11/2019
166,You didn’t collect my recyceling last week and now I have a huge backup of waste.,Bin Collections,01/10/2019,B28 8EU ,Hall Green,UK,Web,Stage 2,Complaint Upheld,FALSE,2,TRUE,01/11/2019
562,Candidate was inexperienced and unable to deliver on what was required,Bin Collections,01/10/2019,B11 1NY ,Birminham City Center,UK,Phone,Stage 2,In Progress,FALSE,3,TRUE,01/11/2019
958,There was garbage all ove the floor when you did your last bin collection,Bin Collections,01/10/2019,B28 8EX ,Hall Green,UK,Letter,Stage 2,Complaint Rejected,TRUE,1,TRUE,01/11/2019
133,There was garbage all over the road during the last bin collection.,Bin Collections,01/01/2019,B17 0HH,Harborne,UK,Phone,Stage 1,Closed,TRUE,5,TRUE,01/02/2019
529,I need some of those special bin bags so my colletion is a lot cleaner.,Bin Collections,01/01/2019,B15 1RA ,Edgbaston,UK,Chat,Stage 1,Decision Pending,FALSE,8,TRUE,01/02/2019
925,The bin collectors left my bins all over the pavement.,Bin Collections,01/07/2019,B26 3YH,Sheldon,UK,Social,Stage 1,Acknowledged,FALSE,7,TRUE,01/08/2019
1,My Bins werent collected and it is a huge inconveience to me. Please sort it out.,Bin Collections,01/01/2019,B11 1PB,Birminham City Center,UK,Web,Stage 1,Acknowledged,FALSE,1,TRUE,01/02/2019
397,Please may I have a bigger bin,Bin Collections,01/07/2019,B28 8EY ,Hall Green,UK,Phone,Stage 1,Complaint Upheld,FALSE,4,TRUE,01/08/2019
793,You didn’t collect my recyceling last week and now I have a huge backup of waste.,Bin Collections,01/01/2019,B17 0EQ,Harborne,UK,Letter,Stage 1,In Progress,FALSE,5,TRUE,01/02/2019
265,Candidate was inexperienced and unable to deliver on what was required,Bin Collections,01/01/2019,B15 1RP ,Edgbaston,UK,Social,Stage 1,Complaint Rejected,TRUE,3,TRUE,01/02/2019
661,There was garbage all ove the floor when you did your last bin collection,Bin Collections,01/01/2019,B26 3BN ,Sheldon,UK,Phone,Stage 1,Decision Pending,FALSE,1,TRUE,01/02/2019
12,There was garbage all over the road during the last bin collection.,Bin Collections,01/12/2019,B14 7QD ,Birminham City Center,UK,Phone,Ombudsman,Complaint Upheld,FALSE,3,TRUE,01/01/2020
408,I need some of those special bin bags so my colletion is a lot cleaner.,Bin Collections,01/12/2019,B28 8EZ ,Hall Green,UK,Letter,Ombudsman,In Progress,FALSE,7,TRUE,01/01/2020
804,The bin collectors left my bins all over the pavement.,Bin Collections,01/12/2019,B17 0HW,Harborne,UK,Chat,Ombudsman,Complaint Rejected,TRUE,3,TRUE,01/01/2020
276,My Bins werent collected and it is a huge inconveience to me. Please sort it out.,Bin Collections,01/12/2019,B15 1RX ,Edgbaston,UK,Web,Ombudsman,Decision Pending,FALSE,2,TRUE,01/01/2020
672,Please may I have a bigger bin,Bin Collections,01/12/2019,B28 8HG,Hall Green,UK,Phone,Ombudsman,Decision Pending,FALSE,3,TRUE,01/01/2020
144,You didn’t collect my recyceling last week and now I have a huge backup of waste.,Bin Collections,01/12/2019,B14 7QE,Birminham City Center,UK,Chat,Ombudsman,Decision Pending,FALSE,7,TRUE,01/01/2020
540,Candidate was inexperienced and unable to deliver on what was required,Bin Collections,01/12/2019,B28 0TL ,Hall Green,UK,Social,Ombudsman,Acknowledged,FALSE,0,TRUE,01/01/2020
936,There was garbage all ove the floor when you did your last bin collection,Bin Collections,01/12/2019,B17 9JY ,Harborne,UK,Web,Ombudsman,Complaint Upheld,FALSE,2,TRUE,01/01/2020
210,There was garbage all over the road during the last bin collection.,Bin Collections,01/06/2019,B15 1TH ,Edgbaston,UK,Social,Stage 2,Closed,TRUE,10,TRUE,02/07/2019
606,I need some of those special bin bags so my colletion is a lot cleaner.,Bin Collections,01/06/2019,B26 3BP ,Sheldon,UK,Phone,Stage 2,Decision Pending,FALSE,2,TRUE,02/07/2019
78,The bin collectors left my bins all over the pavement.,Bin Collections,01/06/2019,B18 5NR,Birminham City Center,UK,Letter,Stage 2,Acknowledged,FALSE,6,TRUE,02/07/2019
474,My Bins werent collected and it is a huge inconveience to me. Please sort it out.,Bin Collections,01/07/2019,B28 0TP,Hall Green,UK,Chat,Stage 2,Complaint Upheld,FALSE,7,TRUE,01/08/2019
870,Please may I have a bigger bin,Bin Collections,01/06/2019,B17 9LA ,Harborne,UK,Social,Stage 2,In Progress,FALSE,10,TRUE,02/07/2019
342,You didn’t collect my recyceling last week and now I have a huge backup of waste.,Bin Collections,01/06/2019,B15 1TS ,Edgbaston,UK,Phone,Stage 2,Complaint Rejected,TRUE,3,TRUE,02/07/2019
738,Candidate was inexperienced and unable to deliver on what was required,Bin Collections,01/06/2019,B26 3DA ,Sheldon,UK,Letter,Stage 2,Decision Pending,FALSE,6,TRUE,02/07/2019
111,There was garbage all ove the floor when you did your last bin collection,Bin Collections,01/07/2019,B24 8HE,Birminham City Center,UK,Web,Stage 3,Complaint Rejected,TRUE,1,TRUE,01/08/2019
507,There was garbage all over the road during the last bin collection.,Bin Collections,01/03/2019,B28 8RJ ,Hall Green,UK,Phone,Stage 3,Decision Pending,FALSE,4,TRUE,01/04/2019
903,I need some of those special bin bags so my colletion is a lot cleaner.,Bin Collections,01/03/2019,B17 9LB ,Harborne,UK,Phone,Stage 3,Closed,TRUE,5,TRUE,01/04/2019
375,The bin collectors left my bins all over the pavement.,Bin Collections,01/03/2019,B15 1TT ,Edgbaston,UK,Social,Stage 3,Decision Pending,FALSE,8,TRUE,01/04/2019
771,My Bins werent collected and it is a huge inconveience to me. Please sort it out.,Bin Collections,01/03/2019,B26 3DB ,Sheldon,UK,Phone,Stage 3,Acknowledged,FALSE,1,TRUE,01/04/2019
243,Please may I have a bigger bin,Bin Collections,01/03/2019,B28 8RL ,Hall Green,UK,Letter,Stage 3,Complaint Upheld,FALSE,5,TRUE,01/04/2019
639,You didn’t collect my recyceling last week and now I have a huge backup of waste.,Bin Collections,01/03/2019,B28 8RN ,Hall Green,UK,Chat,Stage 3,In Progress,FALSE,8,TRUE,01/04/2019
266,There are people running around on the roads putting graffiti everywhere.,Anti Social Behaviour,01/02/2019,B17 9LG,Harborne,UK,Web,Stage 2,Closed,TRUE,0,FALSE,04/03/2019
662,We have such loud neighbours. They wont stop banging on the walls.,Anti Social Behaviour,01/02/2019,B15 3AW,Edgbaston,UK,Phone,Stage 2,Decision Pending,FALSE,3,FALSE,04/03/2019
2,The neighbours keep having parties that are going late into the night and we cant sleep.,Anti Social Behaviour,01/02/2019,B26 3DL ,Sheldon,UK,Phone,Stage 2,In Progress,FALSE,0,FALSE,04/03/2019
398,There is a graffiti problem in our neighbourhood.,Anti Social Behaviour,01/02/2019,B29 4NS ,Birminham City Center,UK,Phone,Stage 2,Complaint Rejected,TRUE,2,TRUE,04/03/2019
794,A group of hoodie kids is terrorising the neighbourhood on their bicycles.,Anti Social Behaviour,01/02/2019,B28 8RP ,Hall Green,UK,Chat,Stage 2,Decision Pending,FALSE,7,FALSE,04/03/2019
134,We are s tired of the birds chirping soloudly in the trees near us.,Anti Social Behaviour,01/02/2019,B17 0BN,Harborne,UK,Chat,Stage 2,Acknowledged,FALSE,1,FALSE,04/03/2019
530,There ar eprople rnning around the neighbourhood knocking on peoples doors.,Anti Social Behaviour,01/02/2019,B15 1QS,Edgbaston,UK,Social,Stage 2,Decision Pending,FALSE,1,FALSE,04/03/2019
926,Someone put a firework intou our mailbox and now it is damaged.,Anti Social Behaviour,01/02/2019,B26 3DN,Sheldon,UK,Web,Stage 2,In Progress,FALSE,1,FALSE,04/03/2019
365,There are people running around on the roads putting graffiti everywhere.,Anti Social Behaviour,01/05/2019,B29 4NT ,Birminham City Center,UK,Social,Stage 1,Acknowledged,FALSE,1,FALSE,01/06/2019
761,We have such loud neighbours. They wont stop banging on the walls.,Anti Social Behaviour,01/05/2019,B28 8RW ,Hall Green,UK,Phone,Stage 1,Complaint Upheld,FALSE,1,FALSE,01/06/2019
101,The neighbours keep having parties that are going late into the night and we cant sleep.,Anti Social Behaviour,01/05/2019,B17 9AP,Harborne,UK,Web,Stage 1,Decision Pending,FALSE,1,TRUE,01/06/2019
497,There is a graffiti problem in our neighbourhood.,Anti Social Behaviour,01/05/2019,B15 1TR,Edgbaston,UK,Phone,Stage 1,Closed,TRUE,1,FALSE,01/06/2019
893,A group of hoodie kids is terrorising the neighbourhood on their bicycles.,Anti Social Behaviour,01/05/2019,B26 1JP ,Sheldon,UK,Letter,Stage 1,Decision Pending,FALSE,1,FALSE,01/06/2019
233,We are s tired of the birds chirping soloudly in the trees near us.,Anti Social Behaviour,01/05/2019,B29 4NU ,Birminham City Center,UK,Letter,Stage 1,In Progress,FALSE,1,FALSE,01/06/2019
629,There ar eprople rnning around the neighbourhood knocking on peoples doors.,Anti Social Behaviour,01/05/2019,B28 9DB ,Hall Green,UK,Chat,Stage 2,Complaint Rejected,TRUE,1,TRUE,01/06/2019
376,Someone put a firework intou our mailbox and now it is damaged.,Anti Social Behaviour,01/07/2019,B17 9EX ,Harborne,UK,Web,Ombudsman,Complaint Upheld,FALSE,2,TRUE,01/08/2019
772,There are people running around on the roads putting graffiti everywhere.,Anti Social Behaviour,01/04/2019,B16 9BH ,Edgbaston,UK,Phone,Ombudsman,In Progress,FALSE,3,TRUE,02/05/2019
244,We have such loud neighbours. They wont stop banging on the walls.,Anti Social Behaviour,01/04/2019,B28 9DE ,Hall Green,UK,Chat,Ombudsman,Complaint Rejected,TRUE,2,TRUE,02/05/2019
640,The neighbours keep having parties that are going late into the night and we cant sleep.,Anti Social Behaviour,01/04/2019,B28 9DE ,Hall Green,UK,Phone,Ombudsman,Decision Pending,FALSE,10,TRUE,02/05/2019
112,There is a graffiti problem in our neighbourhood.,Anti Social Behaviour,01/04/2019,B28 9DF ,Hall Green,UK,Phone,Ombudsman,Closed,FALSE,1,FALSE,02/05/2019
508,A group of hoodie kids is terrorising the neighbourhood on their bicycles.,Anti Social Behaviour,01/04/2019,B17 9EY ,Harborne,UK,Letter,Ombudsman,Decision Pending,FALSE,6,TRUE,02/05/2019
904,We are s tired of the birds chirping soloudly in the trees near us.,Anti Social Behaviour,01/04/2019,B16 9BJ,Edgbaston,UK,Chat,Ombudsman,Acknowledged,FALSE,7,TRUE,02/05/2019
57,There ar eprople rnning around the neighbourhood knocking on peoples doors.,Anti Social Behaviour,01/09/2019,B26 3DY ,Sheldon,UK,Phone,Stage 1,Acknowledged,FALSE,4,TRUE,02/10/2019
453,Someone put a firework intou our mailbox and now it is damaged.,Anti Social Behaviour,01/09/2019,B29 4NZ ,Birminham City Center,UK,Letter,Stage 1,Complaint Upheld,FALSE,5,TRUE,02/10/2019
849,There are people running around on the roads putting graffiti everywhere.,Anti Social Behaviour,01/09/2019,B28 9DH ,Hall Green,UK,Chat,Stage 1,In Progress,FALSE,8,TRUE,02/10/2019
321,We have such loud neighbours. They wont stop banging on the walls.,Anti Social Behaviour,01/09/2019,B17 9HA ,Harborne,UK,Web,Stage 1,Complaint Rejected,TRUE,2,TRUE,02/10/2019
717,The neighbours keep having parties that are going late into the night and we cant sleep.,Anti Social Behaviour,01/09/2019,B15 2NG ,Edgbaston,UK,Phone,Stage 1,Decision Pending,FALSE,4,TRUE,02/10/2019
189,There is a graffiti problem in our neighbourhood.,Anti Social Behaviour,01/09/2019,B26 3EA ,Sheldon,UK,Chat,Stage 1,Closed,TRUE,7,TRUE,02/10/2019
585,A group of hoodie kids is terrorising the neighbourhood on their bicycles.,Anti Social Behaviour,01/09/2019,B29 4PA ,Birminham City Center,UK,Social,Stage 1,Decision Pending,FALSE,8,TRUE,02/10/2019
981,We are s tired of the birds chirping soloudly in the trees near us.,Anti Social Behaviour,01/07/2019,B28 9DN ,Hall Green,UK,Web,Stage 1,Acknowledged,FALSE,1,TRUE,01/08/2019
167,There ar eprople rnning around the neighbourhood knocking on peoples doors.,Anti Social Behaviour,01/11/2019,B17 9HB,Harborne,UK,Phone,Stage 3,Complaint Rejected,TRUE,1,TRUE,02/12/2019
563,Someone put a firework intou our mailbox and now it is damaged.,Anti Social Behaviour,01/11/2019,B15 2NH ,Edgbaston,UK,Letter,Stage 3,Decision Pending,FALSE,1,FALSE,02/12/2019
959,There are people running around on the roads putting graffiti everywhere.,Anti Social Behaviour,01/11/2019,B26 3EG ,Sheldon,UK,Chat,Stage 3,Closed,TRUE,1,FALSE,02/12/2019
299,We have such loud neighbours. They wont stop banging on the walls.,Anti Social Behaviour,01/11/2019,B29 4PG ,Birminham City Center,UK,Chat,Stage 3,Complaint Upheld,FALSE,1,FALSE,02/12/2019
695,The neighbours keep having parties that are going late into the night and we cant sleep.,Anti Social Behaviour,01/11/2019,B28 9DP ,Hall Green,UK,Social,Stage 3,In Progress,FALSE,1,FALSE,02/12/2019
35,There is a graffiti problem in our neighbourhood.,Anti Social Behaviour,01/11/2019,B17 0ED ,Harborne,UK,Social,Stage 3,Closed,TRUE,8,TRUE,02/12/2019
431,A group of hoodie kids is terrorising the neighbourhood on their bicycles.,Anti Social Behaviour,01/11/2019,B15 2NQ ,Edgbaston,UK,Web,Stage 3,Decision Pending,FALSE,1,FALSE,02/12/2019
827,We are s tired of the birds chirping soloudly in the trees near us.,Anti Social Behaviour,01/11/2019,B26 3EH ,Sheldon,UK,Phone,Stage 3,Acknowledged,FALSE,4,FALSE,02/12/2019
68,There ar eprople rnning around the neighbourhood knocking on peoples doors.,Anti Social Behaviour,01/08/2019,B29 4PH ,Birminham City Center,UK,Letter,Stage 2,Complaint Upheld,FALSE,6,FALSE,01/09/2019
464,Someone put a firework intou our mailbox and now it is damaged.,Anti Social Behaviour,01/07/2019,B28 9DR ,Hall Green,UK,Chat,Ombudsman,In Progress,FALSE,1,FALSE,01/08/2019
860,There are people running around on the roads putting graffiti everywhere.,Anti Social Behaviour,01/08/2019,B28 9DW ,Hall Green,UK,Social,Ombudsman,Complaint Rejected,TRUE,2,TRUE,01/09/2019
200,We have such loud neighbours. They wont stop banging on the walls.,Anti Social Behaviour,01/08/2019,B15 2NU,Edgbaston,UK,Social,Ombudsman,Decision Pending,FALSE,1,FALSE,01/09/2019
596,The neighbours keep having parties that are going late into the night and we cant sleep.,Anti Social Behaviour,01/08/2019,B26 3EW ,Sheldon,UK,Web,Ombudsman,Decision Pending,FALSE,1,FALSE,01/09/2019
992,There is a graffiti problem in our neighbourhood.,Anti Social Behaviour,01/08/2019,B29 4PQ ,Birminham City Center,UK,Phone,Ombudsman,Complaint Upheld,FALSE,1,FALSE,01/09/2019
332,A group of hoodie kids is terrorising the neighbourhood on their bicycles.,Anti Social Behaviour,01/08/2019,B28 9DX,Hall Green,UK,Phone,Ombudsman,Decision Pending,FALSE,3,FALSE,01/09/2019
728,We are s tired of the birds chirping soloudly in the trees near us.,Anti Social Behaviour,01/08/2019,B17 0EE ,Harborne,UK,Letter,Ombudsman,Closed,FALSE,1,FALSE,01/09/2019
79,There ar eprople rnning around the neighbourhood knocking on peoples doors.,Anti Social Behaviour,01/07/2019,B15 3AS ,Edgbaston,UK,Chat,Stage 3,In Progress,FALSE,8,TRUE,01/08/2019
475,Someone put a firework intou our mailbox and now it is damaged.,Anti Social Behaviour,01/07/2019,B26 3HH ,Sheldon,UK,Social,Stage 3,Complaint Rejected,TRUE,0,TRUE,01/08/2019
871,There are people running around on the roads putting graffiti everywhere.,Anti Social Behaviour,01/07/2019,B29 4PS ,Birminham City Center,UK,Web,Stage 3,Decision Pending,FALSE,1,TRUE,01/08/2019
343,We have such loud neighbours. They wont stop banging on the walls.,Anti Social Behaviour,01/07/2019,B28 8BZ ,Hall Green,UK,Letter,Stage 2,Closed,TRUE,5,TRUE,01/08/2019
739,The neighbours keep having parties that are going late into the night and we cant sleep.,Anti Social Behaviour,01/07/2019,B17 0EF ,Harborne,UK,Phone,Stage 3,Decision Pending,FALSE,7,TRUE,01/08/2019
211,There is a graffiti problem in our neighbourhood.,Anti Social Behaviour,01/07/2019,B15 3AT ,Edgbaston,UK,Web,Stage 3,Acknowledged,FALSE,1,TRUE,01/08/2019
607,A group of hoodie kids is terrorising the neighbourhood on their bicycles.,Anti Social Behaviour,01/07/2019,B26 3HJ ,Sheldon,UK,Phone,Stage 2,Complaint Upheld,FALSE,4,TRUE,01/08/2019
178,We are s tired of the birds chirping soloudly in the trees near us.,Anti Social Behaviour,01/10/2019,B29 4PY ,Birminham City Center,UK,Letter,Stage 2,Decision Pending,FALSE,6,TRUE,01/11/2019
574,There ar eprople rnning around the neighbourhood knocking on peoples doors.,Anti Social Behaviour,01/10/2019,B28 8DA ,Hall Green,UK,Chat,Stage 2,Closed,TRUE,7,TRUE,01/11/2019
970,Someone put a firework intou our mailbox and now it is damaged.,Anti Social Behaviour,01/10/2019,B17 0EG ,Harborne,UK,Social,Stage 2,Decision Pending,FALSE,10,TRUE,01/11/2019
46,There are people running around on the roads putting graffiti everywhere.,Anti Social Behaviour,01/10/2019,B15 3AX ,Edgbaston,UK,Web,Stage 2,Decision Pending,FALSE,2,TRUE,01/11/2019
